Cód.;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
35011;-;-;-;...;-;-;-;257;-;-;-;4;-;91;114;...;-;912;912;-;...;119050;...;-;-;-;-;-;-;-;-;-;-;-;126;-;-;-;-;-;-;581;-;-;-;-;-;-;43;9;-;-;-;-;3357;-;-;-;-;-;-;-;18331;970;-;77;-;-;-;-;6
35012;69;-;-;...;-;-;-;-;10;-;-;106;-;-;29;...;-;53681;53681;-;...;74130;...;-;-;59;-;-;-;-;-;-;-;-;145;-;-;-;-;-;-;5276;-;-;-;-;-;-;61;-;1;-;-;-;4597;-;-;-;-;-;-;-;6210;80;-;12;-;-;-;-;10
35013;380;7;-;...;-;-;8;16800;-;-;-;50;174;-;518;...;-;154;154;-;...;280360;...;-;-;1316;-;-;-;9;-;-;-;-;10;-;-;-;2967;-;-;17156;7344;-;-;-;14;-;678;6411;93;-;-;-;4362;-;97;-;5;-;-;-;13570;85;1274;243;-;-;-;-;3
35014;716;3;-;...;-;-;5;9071;35;-;-;348;-;-;-;...;-;1623;1623;-;...;337479;...;-;-;-;-;-;-;1;-;-;-;-;71;-;-;-;13;-;-;4121;219;-;-;-;2;-;408;57;8;-;1;-;5934;-;-;-;-;-;-;-;11735;180;2;63;-;-;-;-;-
35015;397;-;-;...;-;-;-;170;19;-;3;14;-;-;-;...;-;19650;19650;-;...;104299;...;-;-;40;-;-;-;-;-;-;-;-;150;-;-;-;1;-;-;3555;29;-;-;-;-;-;37;190;-;-;-;-;5427;-;7;-;-;-;-;-;7390;850;3;1;-;-;-;-;-
35016;31;2031;-;...;-;-;-;900;-;-;-;1127;-;-;1522;...;-;16;16;-;...;227734;...;-;-;-;-;-;-;26;-;-;-;-;4854;-;-;-;62;-;-;3233;337;-;-;-;-;-;404;250;6;-;41;-;7779;-;-;-;-;-;-;-;9835;1320;66;161;-;-;-;1380;1
35017;-;127;-;...;-;-;-;707;-;-;-;263;-;-;1948;...;-;57;57;-;...;204400;...;-;-;-;-;-;-;490;-;-;-;-;95;-;-;-;3;-;-;1100;47;-;-;-;15;-;237;37;-;-;-;-;11760;-;-;-;-;-;-;-;18694;1110;48;63;-;-;-;36;-
35018;15;1;-;...;-;-;-;4297;-;-;-;579;2265;-;4261;...;-;760;760;-;...;166933;...;-;-;10;-;-;-;9;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;-;10;-;244;6;6;-;20;-;14310;-;5;-;-;-;-;-;32034;6835;1;13;-;-;-;-;-
35019;64;-;-;...;-;-;-;10433;-;-;-;209;198;-;1326;...;-;748;742;6;...;115758;...;12;-;-;-;-;-;43;-;-;-;-;-;-;-;-;32;-;-;7100;70;-;-;-;-;-;1697;71;3;-;187;-;2771;-;-;-;-;-;-;-;5185;50;-;182;-;-;-;-;-
35020;671;74;-;...;-;-;-;6313;-;-;-;74;117;-;1708;...;-;2216;2215;1;...;154691;...;35;-;-;-;-;-;-;-;-;-;-;133;-;-;276;498;-;-;29995;534;-;-;-;1;-;2058;11;25;-;1943;-;5305;-;10;-;-;-;-;-;15273;745;771;114;-;-;-;-;9
