Cód.,Abacate,,Abacaxi*,,Açaí,,Alfafa fenada,,Algodão arbóreo (em caroço),,Algodão herbáceo (em caroço),,Alho,,Amendoim (em casca),,Arroz (em casca),,Aveia (em grão),,Azeitona,,Banana (cacho),,Batata-doce,,Batata-inglesa,,Borracha (látex coagulado),,Borracha (látex líquido),,Cacau (em amêndoa),,Café (em grão) Total,,Café (em grão) Arábica,,Café (em grão) Canephora,,Caju,,Cana-de-açúcar,,Cana para forragem,,Caqui,,Castanha de caju,,Cebola,,Centeio (em grão),,Cevada (em grão),,Chá-da-índia (folha verde),,Coco-da-baía*,,Dendê (cacho de coco),,Erva-mate (folha verde),,Ervilha (em grão),,Fava (em grão),,Feijão (em grão),,Figo,,Fumo (em folha),,Girassol (em grão),,Goiaba,,Guaraná (semente),,Juta (fibra),,Laranja,,Limão,,Linho (semente),,Maçã,,Malva (fibra),,Mamão,,Mamona (baga),,Mandioca,,Manga,,Maracujá,,Marmelo,,Melancia,,Melão,,Milho (em grão),,Noz (fruto seco),,Palmito,,Pera,,Pêssego,,Pimenta-do-reino,,Rami (fibra),,Sisal ou agave (fibra),,Soja (em grão),,Sorgo (em grão),,Tangerina,,Tomate,,Trigo (em grão),,Triticale (em grão),,Tungue (fruto seco),,Urucum (semente),,Uva,ano
35011,-,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,257,Hectares,-,Hectares,-,Hectares,-,Hectares,4,Hectares,-,Hectares,91,Hectares,114,Hectares,...,Hectares,-,Hectares,912,Hectares,912,Hectares,-,Hectares,...,Hectares,119050,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,126,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,581,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,43,Hectares,9,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,3357,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,18331,Hectares,970,Hectares,-,Hectares,77,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,6,2020
35012,69,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,10,Hectares,-,Hectares,-,Hectares,106,Hectares,-,Hectares,-,Hectares,29,Hectares,...,Hectares,-,Hectares,53681,Hectares,53681,Hectares,-,Hectares,...,Hectares,74130,Hectares,...,Hectares,-,Hectares,-,Hectares,59,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,145,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,5276,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,61,Hectares,-,Hectares,1,Hectares,-,Hectares,-,Hectares,-,Hectares,4597,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,6210,Hectares,80,Hectares,-,Hectares,12,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,10,2020
35013,380,Hectares,7,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,8,Hectares,16800,Hectares,-,Hectares,-,Hectares,-,Hectares,50,Hectares,174,Hectares,-,Hectares,518,Hectares,...,Hectares,-,Hectares,154,Hectares,154,Hectares,-,Hectares,...,Hectares,280360,Hectares,...,Hectares,-,Hectares,-,Hectares,1316,Hectares,-,Hectares,-,Hectares,-,Hectares,9,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,10,Hectares,-,Hectares,-,Hectares,-,Hectares,2967,Hectares,-,Hectares,-,Hectares,17156,Hectares,7344,Hectares,-,Hectares,-,Hectares,-,Hectares,14,Hectares,-,Hectares,678,Hectares,6411,Hectares,93,Hectares,-,Hectares,-,Hectares,-,Hectares,4362,Hectares,-,Hectares,97,Hectares,-,Hectares,5,Hectares,-,Hectares,-,Hectares,-,Hectares,13570,Hectares,85,Hectares,1274,Hectares,243,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,3,2020
35014,716,Hectares,3,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,5,Hectares,9071,Hectares,35,Hectares,-,Hectares,-,Hectares,348,Hectares,-,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,1623,Hectares,1623,Hectares,-,Hectares,...,Hectares,337479,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,71,Hectares,-,Hectares,-,Hectares,-,Hectares,13,Hectares,-,Hectares,-,Hectares,4121,Hectares,219,Hectares,-,Hectares,-,Hectares,-,Hectares,2,Hectares,-,Hectares,408,Hectares,57,Hectares,8,Hectares,-,Hectares,1,Hectares,-,Hectares,5934,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,11735,Hectares,180,Hectares,2,Hectares,63,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2020
35015,397,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,170,Hectares,19,Hectares,-,Hectares,3,Hectares,14,Hectares,-,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,19650,Hectares,19650,Hectares,-,Hectares,...,Hectares,104299,Hectares,...,Hectares,-,Hectares,-,Hectares,40,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,150,Hectares,-,Hectares,-,Hectares,-,Hectares,1,Hectares,-,Hectares,-,Hectares,3555,Hectares,29,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,37,Hectares,190,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,5427,Hectares,-,Hectares,7,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,7390,Hectares,850,Hectares,3,Hectares,1,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2020
35016,31,Hectares,2031,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,900,Hectares,-,Hectares,-,Hectares,-,Hectares,1127,Hectares,-,Hectares,-,Hectares,1522,Hectares,...,Hectares,-,Hectares,16,Hectares,16,Hectares,-,Hectares,...,Hectares,227734,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,26,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,4854,Hectares,-,Hectares,-,Hectares,-,Hectares,62,Hectares,-,Hectares,-,Hectares,3233,Hectares,337,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,404,Hectares,250,Hectares,6,Hectares,-,Hectares,41,Hectares,-,Hectares,7779,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,9835,Hectares,1320,Hectares,66,Hectares,161,Hectares,-,Hectares,-,Hectares,-,Hectares,1380,Hectares,1,2020
35017,-,Hectares,127,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,707,Hectares,-,Hectares,-,Hectares,-,Hectares,263,Hectares,-,Hectares,-,Hectares,1948,Hectares,...,Hectares,-,Hectares,57,Hectares,57,Hectares,-,Hectares,...,Hectares,204400,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,490,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,95,Hectares,-,Hectares,-,Hectares,-,Hectares,3,Hectares,-,Hectares,-,Hectares,1100,Hectares,47,Hectares,-,Hectares,-,Hectares,-,Hectares,15,Hectares,-,Hectares,237,Hectares,37,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,11760,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,18694,Hectares,1110,Hectares,48,Hectares,63,Hectares,-,Hectares,-,Hectares,-,Hectares,36,Hectares,-,2020
35018,15,Hectares,1,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,4297,Hectares,-,Hectares,-,Hectares,-,Hectares,579,Hectares,2265,Hectares,-,Hectares,4261,Hectares,...,Hectares,-,Hectares,760,Hectares,760,Hectares,-,Hectares,...,Hectares,166933,Hectares,...,Hectares,-,Hectares,-,Hectares,10,Hectares,-,Hectares,-,Hectares,-,Hectares,9,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,90,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,10,Hectares,-,Hectares,244,Hectares,6,Hectares,6,Hectares,-,Hectares,20,Hectares,-,Hectares,14310,Hectares,-,Hectares,5,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,32034,Hectares,6835,Hectares,1,Hectares,13,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2020
35019,64,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,10433,Hectares,-,Hectares,-,Hectares,-,Hectares,209,Hectares,198,Hectares,-,Hectares,1326,Hectares,...,Hectares,-,Hectares,748,Hectares,742,Hectares,6,Hectares,...,Hectares,115758,Hectares,...,Hectares,12,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,43,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,32,Hectares,-,Hectares,-,Hectares,7100,Hectares,70,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1697,Hectares,71,Hectares,3,Hectares,-,Hectares,187,Hectares,-,Hectares,2771,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,5185,Hectares,50,Hectares,-,Hectares,182,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2020
35020,671,Hectares,74,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,6313,Hectares,-,Hectares,-,Hectares,-,Hectares,74,Hectares,117,Hectares,-,Hectares,1708,Hectares,...,Hectares,-,Hectares,2216,Hectares,2215,Hectares,1,Hectares,...,Hectares,154691,Hectares,...,Hectares,35,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,133,Hectares,-,Hectares,-,Hectares,276,Hectares,498,Hectares,-,Hectares,-,Hectares,29995,Hectares,534,Hectares,-,Hectares,-,Hectares,-,Hectares,1,Hectares,-,Hectares,2058,Hectares,11,Hectares,25,Hectares,-,Hectares,1943,Hectares,-,Hectares,5305,Hectares,-,Hectares,10,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,15273,Hectares,745,Hectares,771,Hectares,114,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,9,2020
