Cód.,Abacate,,Abacaxi*,,Açaí,,Alfafa fenada,,Algodão arbóreo (em caroço),,Algodão herbáceo (em caroço),,Alho,,Amendoim (em casca),,Arroz (em casca),,Aveia (em grão),,Azeitona,,Banana (cacho),,Batata-doce,,Batata-inglesa,,Borracha (látex coagulado),,Borracha (látex líquido),,Cacau (em amêndoa),,Café (em grão) Total,,Café (em grão) Arábica,,Café (em grão) Canephora,,Caju,,Cana-de-açúcar,,Cana para forragem,,Caqui,,Castanha de caju,,Cebola,,Centeio (em grão),,Cevada (em grão),,Chá-da-índia (folha verde),,Coco-da-baía*,,Dendê (cacho de coco),,Erva-mate (folha verde),,Ervilha (em grão),,Fava (em grão),,Feijão (em grão),,Figo,,Fumo (em folha),,Girassol (em grão),,Goiaba,,Guaraná (semente),,Juta (fibra),,Laranja,,Limão,,Linho (semente),,Maçã,,Malva (fibra),,Mamão,,Mamona (baga),,Mandioca,,Manga,,Maracujá,,Marmelo,,Melancia,,Melão,,Milho (em grão),,Noz (fruto seco),,Palmito,,Pera,,Pêssego,,Pimenta-do-reino,,Rami (fibra),,Sisal ou agave (fibra),,Soja (em grão),,Sorgo (em grão),,Tangerina,,Tomate,,Trigo (em grão),,Triticale (em grão),,Tungue (fruto seco),,Urucum (semente),,Uva,ano
35020,680,Hectares,193,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,3656,Hectares,-,Hectares,-,Hectares,-,Hectares,71,Hectares,47,Hectares,-,Hectares,1257,Hectares,...,Hectares,-,Hectares,2216,Hectares,2215,Hectares,1,Hectares,...,Hectares,150897,Hectares,...,Hectares,26,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,361,Hectares,-,Hectares,-,Hectares,278,Hectares,661,Hectares,-,Hectares,-,Hectares,34227,Hectares,605,Hectares,-,Hectares,-,Hectares,-,Hectares,1,Hectares,-,Hectares,1531,Hectares,51,Hectares,26,Hectares,-,Hectares,2360,Hectares,-,Hectares,5088,Hectares,-,Hectares,17,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,8249,Hectares,803,Hectares,595,Hectares,25,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,13,2018
35021,74,Hectares,13,Hectares,-,Hectares,...,Hectares,-,Hectares,37,Hectares,-,Hectares,1468,Hectares,18,Hectares,-,Hectares,-,Hectares,40,Hectares,-,Hectares,-,Hectares,39,Hectares,...,Hectares,-,Hectares,4576,Hectares,4576,Hectares,-,Hectares,...,Hectares,214960,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,5,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,101,Hectares,-,Hectares,-,Hectares,280,Hectares,-,Hectares,-,Hectares,-,Hectares,2212,Hectares,158,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,180,Hectares,-,Hectares,-,Hectares,-,Hectares,58,Hectares,-,Hectares,6608,Hectares,709,Hectares,10,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,10124,Hectares,1287,Hectares,215,Hectares,1,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2018
35022,271,Hectares,46,Hectares,-,Hectares,...,Hectares,-,Hectares,2300,Hectares,-,Hectares,-,Hectares,-,Hectares,1524,Hectares,-,Hectares,978,Hectares,-,Hectares,2270,Hectares,-,Hectares,...,Hectares,-,Hectares,3503,Hectares,3503,Hectares,-,Hectares,...,Hectares,56305,Hectares,...,Hectares,38,Hectares,-,Hectares,-,Hectares,-,Hectares,200,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,17130,Hectares,-,Hectares,-,Hectares,-,Hectares,63,Hectares,-,Hectares,-,Hectares,30690,Hectares,716,Hectares,-,Hectares,28,Hectares,-,Hectares,-,Hectares,-,Hectares,257,Hectares,-,Hectares,3,Hectares,-,Hectares,200,Hectares,-,Hectares,40960,Hectares,-,Hectares,10,Hectares,-,Hectares,185,Hectares,-,Hectares,-,Hectares,-,Hectares,61880,Hectares,800,Hectares,49,Hectares,-,Hectares,12945,Hectares,600,Hectares,-,Hectares,-,Hectares,5,2018
35023,66,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,38,Hectares,-,Hectares,-,Hectares,23,Hectares,3,Hectares,210,Hectares,59,Hectares,...,Hectares,-,Hectares,2209,Hectares,2209,Hectares,-,Hectares,...,Hectares,79388,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,2230,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,12147,Hectares,4,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1477,Hectares,-,Hectares,4,Hectares,-,Hectares,184,Hectares,-,Hectares,8672,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,4237,Hectares,-,Hectares,113,Hectares,34,Hectares,950,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2018
35024,173,Hectares,26,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,10531,Hectares,-,Hectares,-,Hectares,-,Hectares,277,Hectares,33,Hectares,-,Hectares,414,Hectares,...,Hectares,-,Hectares,353,Hectares,353,Hectares,-,Hectares,...,Hectares,276925,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,16,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,163,Hectares,4,Hectares,-,Hectares,840,Hectares,1132,Hectares,-,Hectares,-,Hectares,29472,Hectares,1740,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1363,Hectares,851,Hectares,3,Hectares,-,Hectares,597,Hectares,-,Hectares,11290,Hectares,-,Hectares,25,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,15278,Hectares,1058,Hectares,274,Hectares,26,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1,2018
35025,72,Hectares,2,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,600,Hectares,-,Hectares,-,Hectares,-,Hectares,11,Hectares,-,Hectares,280,Hectares,-,Hectares,...,Hectares,-,Hectares,1632,Hectares,1632,Hectares,-,Hectares,...,Hectares,111200,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,2,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,78,Hectares,-,Hectares,-,Hectares,10197,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,113,Hectares,-,Hectares,53,Hectares,-,Hectares,-,Hectares,-,Hectares,3774,Hectares,-,Hectares,2,Hectares,-,Hectares,2,Hectares,-,Hectares,-,Hectares,-,Hectares,2319,Hectares,2,Hectares,-,Hectares,11,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2018
35026,28,Hectares,3,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,1,Hectares,354,Hectares,-,Hectares,-,Hectares,-,Hectares,108,Hectares,-,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,2060,Hectares,2060,Hectares,-,Hectares,...,Hectares,70468,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,263,Hectares,-,Hectares,-,Hectares,122,Hectares,9,Hectares,-,Hectares,-,Hectares,6737,Hectares,433,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,494,Hectares,3,Hectares,13,Hectares,-,Hectares,1,Hectares,-,Hectares,5671,Hectares,68,Hectares,2,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1950,Hectares,28,Hectares,184,Hectares,16,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2018
35027,321,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,300,Hectares,-,Hectares,-,Hectares,2,Hectares,-,Hectares,-,Hectares,165,Hectares,-,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,1044,Hectares,1044,Hectares,-,Hectares,...,Hectares,94218,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,37,Hectares,-,Hectares,-,Hectares,37,Hectares,-,Hectares,-,Hectares,-,Hectares,10168,Hectares,137,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1280,Hectares,48,Hectares,6,Hectares,-,Hectares,1,Hectares,-,Hectares,11212,Hectares,-,Hectares,7,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,5885,Hectares,155,Hectares,371,Hectares,85,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2018
35028,18,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,10,Hectares,-,Hectares,-,Hectares,135,Hectares,69,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,97,Hectares,97,Hectares,-,Hectares,...,Hectares,148204,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,3,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,180,Hectares,-,Hectares,7,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,6195,Hectares,18,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1632,Hectares,-,Hectares,3,Hectares,-,Hectares,304,Hectares,-,Hectares,5945,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,926,Hectares,70,Hectares,235,Hectares,12,Hectares,20,Hectares,-,Hectares,-,Hectares,7,Hectares,12,2018
35029,491,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,315,Hectares,-,Hectares,1214,Hectares,-,Hectares,-,Hectares,-,Hectares,147,Hectares,-,Hectares,1330,Hectares,40,Hectares,...,Hectares,-,Hectares,913,Hectares,913,Hectares,-,Hectares,...,Hectares,56808,Hectares,...,Hectares,-,Hectares,-,Hectares,40,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,845,Hectares,-,Hectares,-,Hectares,30,Hectares,-,Hectares,-,Hectares,-,Hectares,11474,Hectares,177,Hectares,-,Hectares,-,Hectares,-,Hectares,7,Hectares,-,Hectares,495,Hectares,180,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,13826,Hectares,-,Hectares,48,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,9934,Hectares,343,Hectares,252,Hectares,45,Hectares,75,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2018
35030,305,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,200,Hectares,-,Hectares,-,Hectares,4,Hectares,220,Hectares,97,Hectares,7518,Hectares,475,Hectares,...,Hectares,-,Hectares,42753,Hectares,42753,Hectares,-,Hectares,...,Hectares,82017,Hectares,...,Hectares,2,Hectares,-,Hectares,1614,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,8480,Hectares,-,Hectares,-,Hectares,150,Hectares,-,Hectares,-,Hectares,-,Hectares,21962,Hectares,241,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,504,Hectares,152,Hectares,29,Hectares,-,Hectares,-,Hectares,-,Hectares,39468,Hectares,-,Hectares,-,Hectares,-,Hectares,5,Hectares,-,Hectares,-,Hectares,-,Hectares,7760,Hectares,400,Hectares,535,Hectares,147,Hectares,200,Hectares,-,Hectares,-,Hectares,-,Hectares,45,2018
35031,842,Hectares,3,Hectares,-,Hectares,...,Hectares,-,Hectares,125,Hectares,-,Hectares,-,Hectares,3,Hectares,-,Hectares,-,Hectares,147,Hectares,30,Hectares,400,Hectares,-,Hectares,...,Hectares,-,Hectares,1078,Hectares,1078,Hectares,-,Hectares,...,Hectares,28865,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,585,Hectares,-,Hectares,-,Hectares,100,Hectares,51,Hectares,-,Hectares,-,Hectares,22583,Hectares,2416,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,4350,Hectares,328,Hectares,30,Hectares,-,Hectares,-,Hectares,-,Hectares,14489,Hectares,-,Hectares,26,Hectares,5,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,2056,Hectares,50,Hectares,304,Hectares,430,Hectares,1090,Hectares,-,Hectares,-,Hectares,-,Hectares,10,2018
35032,158,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,274,Hectares,83,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,631,Hectares,631,Hectares,-,Hectares,...,Hectares,49659,Hectares,...,Hectares,93,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,548,Hectares,403,Hectares,-,Hectares,25,Hectares,759,Hectares,-,Hectares,-,Hectares,1163,Hectares,241,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,295,Hectares,39,Hectares,43,Hectares,-,Hectares,-,Hectares,-,Hectares,5995,Hectares,4,Hectares,-,Hectares,-,Hectares,105,Hectares,-,Hectares,-,Hectares,-,Hectares,3330,Hectares,20,Hectares,18,Hectares,622,Hectares,-,Hectares,10,Hectares,-,Hectares,-,Hectares,1094,2018
35033,169,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,4,Hectares,14,Hectares,-,Hectares,133,Hectares,16,Hectares,474,Hectares,-,Hectares,...,Hectares,-,Hectares,7120,Hectares,7118,Hectares,2,Hectares,...,Hectares,2838,Hectares,...,Hectares,12,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,440,Hectares,-,Hectares,-,Hectares,-,Hectares,2,Hectares,-,Hectares,-,Hectares,1296,Hectares,43,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,35,Hectares,104,Hectares,4,Hectares,-,Hectares,-,Hectares,-,Hectares,5409,Hectares,3,Hectares,17,Hectares,-,Hectares,2,Hectares,-,Hectares,-,Hectares,-,Hectares,905,Hectares,3,Hectares,347,Hectares,95,Hectares,100,Hectares,-,Hectares,-,Hectares,-,Hectares,19,2018
35034,6,Hectares,1,Hectares,-,Hectares,...,Hectares,-,Hectares,51,Hectares,-,Hectares,2348,Hectares,-,Hectares,-,Hectares,-,Hectares,86,Hectares,17,Hectares,-,Hectares,1532,Hectares,...,Hectares,-,Hectares,459,Hectares,459,Hectares,-,Hectares,...,Hectares,104340,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,116,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,35,Hectares,-,Hectares,-,Hectares,-,Hectares,5,Hectares,-,Hectares,-,Hectares,2,Hectares,21,Hectares,-,Hectares,-,Hectares,-,Hectares,67,Hectares,-,Hectares,111,Hectares,369,Hectares,15,Hectares,-,Hectares,56,Hectares,-,Hectares,291,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,17,Hectares,10,Hectares,-,Hectares,-,Hectares,-,Hectares,3741,Hectares,164,2018
35035,-,Hectares,25,Hectares,-,Hectares,...,Hectares,-,Hectares,4,Hectares,-,Hectares,3690,Hectares,-,Hectares,-,Hectares,-,Hectares,222,Hectares,218,Hectares,-,Hectares,756,Hectares,...,Hectares,-,Hectares,5327,Hectares,5322,Hectares,5,Hectares,...,Hectares,78985,Hectares,...,Hectares,2,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,28,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,350,Hectares,-,Hectares,-,Hectares,-,Hectares,20,Hectares,-,Hectares,-,Hectares,22,Hectares,2,Hectares,-,Hectares,-,Hectares,-,Hectares,77,Hectares,-,Hectares,1231,Hectares,46,Hectares,255,Hectares,-,Hectares,416,Hectares,14,Hectares,3880,Hectares,-,Hectares,2,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,3212,Hectares,115,Hectares,5,Hectares,197,Hectares,-,Hectares,-,Hectares,-,Hectares,322,Hectares,10,2018
35036,-,Hectares,11,Hectares,-,Hectares,...,Hectares,-,Hectares,807,Hectares,-,Hectares,14326,Hectares,2,Hectares,-,Hectares,-,Hectares,156,Hectares,3131,Hectares,-,Hectares,2416,Hectares,...,Hectares,-,Hectares,781,Hectares,781,Hectares,-,Hectares,...,Hectares,289326,Hectares,...,Hectares,5,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,304,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1002,Hectares,-,Hectares,-,Hectares,-,Hectares,53,Hectares,-,Hectares,-,Hectares,29,Hectares,34,Hectares,-,Hectares,-,Hectares,-,Hectares,34,Hectares,-,Hectares,9111,Hectares,117,Hectares,61,Hectares,-,Hectares,1164,Hectares,4,Hectares,39884,Hectares,-,Hectares,-,Hectares,6,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,43872,Hectares,1250,Hectares,16,Hectares,117,Hectares,-,Hectares,-,Hectares,-,Hectares,164,Hectares,13,2018
35037,19,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,14460,Hectares,10,Hectares,-,Hectares,-,Hectares,64,Hectares,96,Hectares,-,Hectares,949,Hectares,...,Hectares,-,Hectares,696,Hectares,696,Hectares,-,Hectares,...,Hectares,56594,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,3,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,95,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,50,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,12,Hectares,-,Hectares,2061,Hectares,-,Hectares,20,Hectares,-,Hectares,285,Hectares,-,Hectares,3165,Hectares,-,Hectares,5,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,375,Hectares,-,Hectares,6,Hectares,1,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2018
35038,65,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,8405,Hectares,-,Hectares,300,Hectares,-,Hectares,21,Hectares,38,Hectares,-,Hectares,1848,Hectares,...,Hectares,-,Hectares,24341,Hectares,24341,Hectares,-,Hectares,...,Hectares,27415,Hectares,...,Hectares,6,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,27,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,268,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,2825,Hectares,106,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,7642,Hectares,130,Hectares,269,Hectares,-,Hectares,1948,Hectares,-,Hectares,11170,Hectares,-,Hectares,150,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,7882,Hectares,-,Hectares,26,Hectares,72,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2018
35039,-,Hectares,3,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,1,Hectares,9400,Hectares,550,Hectares,1999,Hectares,-,Hectares,373,Hectares,330,Hectares,-,Hectares,101,Hectares,...,Hectares,-,Hectares,382,Hectares,382,Hectares,-,Hectares,...,Hectares,233526,Hectares,...,Hectares,-,Hectares,-,Hectares,3,Hectares,-,Hectares,-,Hectares,-,Hectares,121,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,349,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,574,Hectares,3,Hectares,-,Hectares,1,Hectares,-,Hectares,7,Hectares,-,Hectares,5421,Hectares,24,Hectares,5,Hectares,-,Hectares,215,Hectares,4,Hectares,161340,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,179195,Hectares,-,Hectares,-,Hectares,15,Hectares,918,Hectares,-,Hectares,-,Hectares,-,Hectares,6,2018
35040,567,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,692,Hectares,65,Hectares,596,Hectares,-,Hectares,126,Hectares,-,Hectares,250,Hectares,-,Hectares,...,Hectares,-,Hectares,17975,Hectares,17975,Hectares,-,Hectares,...,Hectares,97990,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,3,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,7685,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,16518,Hectares,145,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,2620,Hectares,80,Hectares,11,Hectares,-,Hectares,370,Hectares,-,Hectares,81231,Hectares,-,Hectares,110,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,86194,Hectares,760,Hectares,1007,Hectares,43,Hectares,1979,Hectares,-,Hectares,-,Hectares,35,Hectares,-,2018
35041,63,Hectares,3,Hectares,-,Hectares,...,Hectares,-,Hectares,1200,Hectares,2,Hectares,2,Hectares,551,Hectares,900,Hectares,-,Hectares,254,Hectares,215,Hectares,4660,Hectares,-,Hectares,...,Hectares,-,Hectares,1125,Hectares,1125,Hectares,-,Hectares,...,Hectares,4280,Hectares,...,Hectares,145,Hectares,-,Hectares,157,Hectares,-,Hectares,2000,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,27206,Hectares,4,Hectares,-,Hectares,-,Hectares,5,Hectares,-,Hectares,-,Hectares,8146,Hectares,57,Hectares,-,Hectares,35,Hectares,-,Hectares,2,Hectares,-,Hectares,175,Hectares,15,Hectares,66,Hectares,-,Hectares,378,Hectares,-,Hectares,109450,Hectares,-,Hectares,-,Hectares,3,Hectares,24,Hectares,-,Hectares,-,Hectares,-,Hectares,210000,Hectares,6520,Hectares,203,Hectares,1573,Hectares,70327,Hectares,500,Hectares,-,Hectares,-,Hectares,18,2018
35042,-,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,200,Hectares,-,Hectares,-,Hectares,6,Hectares,-,Hectares,-,Hectares,179,Hectares,-,Hectares,1255,Hectares,-,Hectares,...,Hectares,-,Hectares,35,Hectares,35,Hectares,-,Hectares,...,Hectares,11270,Hectares,...,Hectares,25,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,4188,Hectares,1,Hectares,-,Hectares,-,Hectares,5,Hectares,-,Hectares,-,Hectares,14152,Hectares,455,Hectares,-,Hectares,2,Hectares,-,Hectares,-,Hectares,-,Hectares,512,Hectares,-,Hectares,40,Hectares,-,Hectares,415,Hectares,-,Hectares,28750,Hectares,-,Hectares,-,Hectares,-,Hectares,5,Hectares,-,Hectares,-,Hectares,-,Hectares,32800,Hectares,900,Hectares,300,Hectares,46,Hectares,6140,Hectares,-,Hectares,-,Hectares,-,Hectares,100,2018
35043,1,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,10,Hectares,-,Hectares,-,Hectares,45,Hectares,2,Hectares,150,Hectares,-,Hectares,...,Hectares,-,Hectares,37,Hectares,37,Hectares,-,Hectares,...,Hectares,45229,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,867,Hectares,-,Hectares,-,Hectares,30,Hectares,-,Hectares,-,Hectares,-,Hectares,1352,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,226,Hectares,-,Hectares,31,Hectares,-,Hectares,-,Hectares,-,Hectares,10613,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,8353,Hectares,55,Hectares,-,Hectares,22,Hectares,100,Hectares,-,Hectares,-,Hectares,-,Hectares,6,2018
35044,13,Hectares,11,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,1,Hectares,75,Hectares,-,Hectares,-,Hectares,269,Hectares,152,Hectares,212,Hectares,-,Hectares,...,Hectares,-,Hectares,8,Hectares,8,Hectares,-,Hectares,...,Hectares,102,Hectares,...,Hectares,281,Hectares,-,Hectares,222,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,5080,Hectares,3,Hectares,-,Hectares,-,Hectares,13,Hectares,-,Hectares,-,Hectares,1544,Hectares,25,Hectares,-,Hectares,68,Hectares,-,Hectares,-,Hectares,-,Hectares,225,Hectares,-,Hectares,77,Hectares,-,Hectares,39,Hectares,-,Hectares,36090,Hectares,1,Hectares,254,Hectares,8,Hectares,710,Hectares,-,Hectares,-,Hectares,-,Hectares,26480,Hectares,51,Hectares,63,Hectares,2406,Hectares,9830,Hectares,-,Hectares,-,Hectares,-,Hectares,50,2018
35045,230,Hectares,1,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,6,Hectares,-,Hectares,2,Hectares,-,Hectares,-,Hectares,254,Hectares,843,Hectares,1370,Hectares,-,Hectares,...,Hectares,-,Hectares,3,Hectares,3,Hectares,-,Hectares,...,Hectares,-,Hectares,...,Hectares,935,Hectares,-,Hectares,850,Hectares,-,Hectares,-,Hectares,120,Hectares,-,Hectares,-,Hectares,-,Hectares,20,Hectares,-,Hectares,3180,Hectares,-,Hectares,-,Hectares,-,Hectares,9,Hectares,-,Hectares,-,Hectares,520,Hectares,26,Hectares,-,Hectares,23,Hectares,-,Hectares,-,Hectares,-,Hectares,155,Hectares,-,Hectares,140,Hectares,-,Hectares,60,Hectares,-,Hectares,21420,Hectares,-,Hectares,280,Hectares,23,Hectares,116,Hectares,-,Hectares,-,Hectares,-,Hectares,16450,Hectares,-,Hectares,808,Hectares,289,Hectares,3300,Hectares,-,Hectares,-,Hectares,-,Hectares,2055,2018
