produto_permanentes
café
banana
laranja
borracha(latex)
cacau
uva
sisal ou agave
guarana
erva-mate
castanha-de-caju
mamao
coco-da-baia
limão
maracuja
tangerina
urucum
manga
maça
pessego
dende
palmito
caqui
abacate
